Date,Open,High,Low,Close,Volume
2022-01-03,106.03,106.26,104.40,104.94,10188300
2022-01-04,105.62,107.25,105.50,107.05,14572600
2022-01-05,107.33,107.88,105.99,106.03,16196100
2022-01-06,106.40,106.91,105.98,106.52,10437800
2022-01-07,106.55,107.20,106.45,106.49,11614900
2022-01-10,106.23,106.32,104.47,105.29,15670900
2022-01-11,105.40,106.04,104.26,105.92,11966500
2022-01-12,106.37,106.80,105.92,106.26,9938000
2022-01-13,106.55,107.44,106.12,106.49,10995400
2022-01-14,105.52,105.94,104.78,105.85,14758600
2022-01-18,104.86,105.07,104.03,104.63,13878100
2022-01-19,104.91,105.05,103.38,103.46,13367000
2022-01-20,103.66,104.73,102.01,102.14,16726100
2022-01-21,102.15,102.92,100.80,101.20,33329600
2022-01-24,99.51,101.93,98.05,101.78,37356500
2022-01-25,100.01,101.62,98.37,100.78,28146300
2022-01-26,101.36,102.49,98.88,99.90,27633700
2022-01-27,100.73,101.56,98.36,99.01,23186100
2022-01-28,98.59,99.71,96.94,99.70,22967200
2022-01-31,99.03,100.85,98.80,100.74,12183200
2022-02-01,101.37,102.46,100.76,102.13,17200700
2022-02-02,102.00,103.05,101.58,102.84,14199200
2022-02-03,102.14,102.62,101.06,101.20,14007400
2022-02-04,100.64,101.10,99.28,100.11,16025200
2022-02-07,100.37,100.97,99.84,100.19,10452100
2022-02-08,100.45,101.39,100.05,101.19,10376500
2022-02-09,102.04,102.72,102.01,102.58,13166200
2022-02-10,101.37,102.76,100.38,100.90,15560000
2022-02-11,100.93,101.40,98.87,99.36,18726900
2022-02-14,99.50,99.78,98.20,98.99,15297400
2022-02-15,99.97,100.91,99.91,100.48,10542100
2022-02-16,100.21,101.36,99.96,101.01,8222600
2022-02-17,100.21,100.43,98.99,99.16,10912200
2022-02-18,98.98,99.73,98.02,98.34,11969700
2022-02-22,98.27,98.84,96.86,97.39,16809500
2022-02-23,97.81,97.97,95.45,95.60,16296200
2022-02-24,94.19,97.03,93.40,96.82,27356100
2022-02-25,97.05,99.46,97.00,99.13,13511700
2022-02-28,98.21,100.09,98.16,99.89,18310700
2022-03-01,99.53,100.16,97.76,98.40,21884800
2022-03-02,98.88,100.98,98.74,100.50,16881400
2022-03-03,101.24,101.51,100.17,100.61,14831600
2022-03-04,99.59,100.51,99.00,100.39,17167400
2022-03-07,100.07,100.80,97.67,97.70,16533900
2022-03-08,97.94,99.71,97.01,97.10,22316800
2022-03-09,98.81,99.61,98.41,98.86,18757400
2022-03-10,97.62,98.92,97.53,98.73,13317200
2022-03-11,99.30,99.91,97.88,97.94,10695200
2022-03-14,98.53,99.34,97.58,98.27,12988000
2022-03-15,99.17,100.03,98.57,99.83,11204900
2022-03-16,100.46,101.33,99.15,101.15,15840900
2022-03-17,100.50,102.50,100.50,102.45,10897900
2022-03-18,102.27,102.93,101.51,102.84,14921800
2022-03-21,102.26,103.11,102.09,102.73,10821400
2022-03-22,103.05,103.55,102.75,103.29,8292000
2022-03-23,102.86,103.07,102.28,102.30,10475400
2022-03-24,102.82,103.13,102.29,103.08,7698900
2022-03-25,103.30,103.76,102.84,103.72,7350200
2022-03-28,103.63,103.78,102.80,103.75,7940900
2022-03-29,104.43,104.77,103.70,104.71,12157500
2022-03-30,104.60,105.23,104.13,104.59,8731200
2022-03-31,104.32,104.96,102.96,102.98,9441900
2022-04-01,103.42,103.51,101.43,102.18,11182200
2022-04-04,101.98,102.13,100.79,102.05,10436500
2022-04-05,101.65,102.47,100.39,100.60,15332800
2022-04-06,99.76,100.11,99.14,99.82,15573200
2022-04-07,99.46,100.52,98.56,100.16,12381300
2022-04-08,100.00,100.49,99.37,99.60,12923200
2022-04-11,99.28,100.40,99.10,99.28,11246300
2022-04-12,99.58,100.56,98.69,99.12,11473900
2022-04-13,99.32,100.16,99.31,100.05,7661100
2022-04-14,100.37,100.91,99.92,99.94,8252400
2022-04-18,99.66,100.60,99.17,99.59,8701000
2022-04-19,99.92,101.54,99.87,101.40,10920100
2022-04-20,102.26,102.65,101.81,101.95,8623000
2022-04-21,102.96,103.12,100.67,100.91,11117200
2022-04-22,100.40,100.46,98.34,98.43,12030400
2022-04-25,97.86,98.58,96.19,98.43,16391100
2022-04-26,97.70,98.07,96.25,96.28,14594100
2022-04-27,96.23,97.51,95.78,96.64,13363100
2022-04-28,96.91,98.11,95.73,97.73,13461600
2022-04-29,97.58,98.08,94.95,95.14,15135400
2022-05-02,95.04,96.19,93.50,95.34,19101300
2022-05-03,95.54,96.60,95.14,95.97,13315900
2022-05-04,95.92,98.98,95.66,98.75,18468900
2022-05-05,97.80,98.28,95.40,96.17,24943700
2022-05-06,95.78,95.82,93.96,95.52,24153900
2022-05-09,94.41,94.78,92.83,93.21,21188700
2022-05-10,94.22,94.50,91.68,92.60,22935000
2022-05-11,92.53,94.14,91.61,91.76,21838600
2022-05-12,91.29,92.51,90.19,91.93,18517400
2022-05-13,92.75,93.63,92.15,93.10,12837800
2022-05-16,92.83,93.71,92.20,92.97,10865900
2022-05-17,94.47,95.22,93.68,95.08,9490500
2022-05-18,94.23,94.40,91.27,91.54,11173000
2022-05-19,90.58,91.88,89.68,90.72,14482000
2022-05-20,91.00,91.19,88.04,89.74,15695100
2022-05-23,90.61,91.44,90.16,91.21,11989100
2022-05-24,90.74,91.37,89.24,91.16,9917000
2022-05-25,90.86,92.04,90.54,91.69,9460100
2022-05-26,92.52,94.01,92.33,93.55,8028100
2022-05-27,94.29,95.49,94.17,95.47,8669600
2022-05-31,94.47,95.36,93.80,94.70,14498300
2022-06-01,95.26,95.49,93.35,94.12,8713700
2022-06-02,94.77,95.97,93.93,95.92,8432500
2022-06-03,95.06,95.80,94.95,95.55,6828800
2022-06-06,96.24,96.54,95.75,95.95,8334500
2022-06-07,95.10,97.34,94.78,97.24,7427700
2022-06-08,96.51,96.75,95.26,95.48,7028700
2022-06-09,95.08,95.46,93.60,93.60,6737800
2022-06-10,91.94,92.15,90.81,90.84,10416600
2022-06-13,89.05,89.18,87.56,88.11,18353300
2022-06-14,88.49,89.15,87.16,87.89,10512800
2022-06-15,88.58,89.80,87.37,88.74,13335200
2022-06-16,87.01,87.06,85.33,85.78,13500700
2022-06-17,85.68,86.41,84.57,85.56,14253500
2022-06-21,86.53,87.07,85.93,86.74,9161600
2022-06-22,85.52,86.96,85.35,86.26,11136800
2022-06-23,86.22,86.56,84.75,85.82,9744400
2022-06-24,86.64,88.83,86.60,88.82,9634000
2022-06-27,89.29,89.29,88.21,88.61,6361300
2022-06-28,89.20,90.20,87.51,87.58,6476300
2022-06-29,87.75,87.76,86.38,87.07,6818200
2022-06-30,86.01,87.72,85.61,87.34,8708500
2022-07-01,87.18,88.39,86.51,88.10,11717900
2022-07-05,86.62,86.82,85.27,86.78,10994500
2022-07-06,86.98,87.82,86.16,87.28,9781700
2022-07-07,87.89,88.53,87.31,88.31,5865600
2022-07-08,88.08,88.47,87.23,87.91,4912800
2022-07-11,87.40,87.91,87.12,87.32,7985000
2022-07-12,86.92,88.23,86.74,87.05,8018000
2022-07-13,85.66,86.72,85.44,85.99,9498600
2022-07-14,84.76,85.60,84.28,85.50,6825200
2022-07-15,86.70,86.97,85.79,86.84,7855600
2022-07-18,87.61,87.95,86.05,86.32,6282000
2022-07-19,87.03,89.56,87.01,89.40,7326900
2022-07-20,89.43,90.33,89.11,90.09,8260600
2022-07-21,89.83,90.76,89.48,90.74,5899300
2022-07-22,91.04,91.33,90.03,90.45,5969800
2022-07-25,90.55,91.14,90.00,90.88,6154900
2022-07-26,90.59,91.22,90.18,90.39,5522200
2022-07-27,90.98,92.24,90.38,91.79,8662100
2022-07-28,92.25,93.81,91.99,93.71,8668500
2022-07-29,93.74,95.84,93.74,95.64,9000600
2022-08-01,95.04,96.05,94.86,95.74,8599400
2022-08-02,95.38,95.91,94.55,94.73,10039900
2022-08-03,95.14,95.92,94.48,95.62,5509400
2022-08-04,95.64,96.25,95.42,95.97,5339300
2022-08-05,94.99,96.19,94.99,96.12,7857300
2022-08-08,96.87,97.14,95.84,96.09,5606000
2022-08-09,96.08,96.23,95.54,95.74,4398000
2022-08-10,97.26,98.15,97.05,97.84,5967000
2022-08-11,98.48,99.23,98.17,98.36,5711600
2022-08-12,98.81,99.87,98.46,99.84,7808200
2022-08-15,99.15,100.22,99.00,100.08,6558400
2022-08-16,99.60,100.97,99.60,100.53,5564200
2022-08-17,99.35,100.19,99.20,99.73,6578800
2022-08-18,99.91,100.28,99.57,100.13,7003400
2022-08-19,99.51,99.54,98.58,98.84,6893400
2022-08-22,97.63,97.78,96.83,96.96,5804800
2022-08-23,97.00,97.78,96.84,97.14,9874700
2022-08-24,97.24,97.75,97.05,97.46,6443800
2022-08-25,97.90,98.98,97.81,98.95,6045900
2022-08-26,99.14,99.19,95.45,95.52,8006200
2022-08-29,94.91,95.85,94.54,95.09,6386900
2022-08-30,95.30,95.43,93.33,93.72,9546600
2022-08-31,94.10,94.27,92.83,92.93,9683700
2022-09-01,92.32,93.12,91.92,93.06,8790000
2022-09-02,94.10,94.22,91.73,92.16,9839300
2022-09-06,92.20,92.77,91.51,92.31,11438600
2022-09-07,91.98,94.03,91.96,93.79,7934100
2022-09-08,93.22,94.11,92.63,94.07,6979900
2022-09-09,94.68,95.49,94.64,95.29,7440000
2022-09-12,95.84,96.35,95.36,95.86,5874000
2022-09-13,93.80,94.54,91.90,92.25,11236300
2022-09-14,92.20,92.48,90.92,92.07,8889400
2022-09-15,92.00,92.65,90.82,91.11,10688800
2022-09-16,89.07,89.61,88.44,89.21,19141400
2022-09-19,88.17,90.12,88.11,89.99,8455400
2022-09-20,89.32,89.38,88.13,88.87,6652500
2022-09-21,89.66,90.36,87.68,87.69,10846700
2022-09-22,87.48,87.61,86.24,86.37,8925600
2022-09-23,85.51,85.60,83.71,84.75,13831600
2022-09-26,84.49,85.21,83.48,83.86,9241600
2022-09-27,84.62,84.89,82.87,83.58,12179600
2022-09-28,83.94,85.89,83.67,85.42,11920100
2022-09-29,84.67,84.75,83.16,83.94,9357400
2022-09-30,83.70,84.45,82.75,82.84,8935700
2022-10-03,83.76,86.01,83.50,85.34,8612500
2022-10-04,86.64,88.33,86.64,88.31,9676100
2022-10-05,87.35,88.58,86.93,87.83,7055800
2022-10-06,87.38,88.03,86.60,86.82,8813300
2022-10-07,85.99,86.13,84.64,85.16,7415200
2022-10-10,85.87,86.33,84.74,85.46,7564300
2022-10-11,85.12,86.60,84.89,85.44,8661700
2022-10-12,85.39,85.79,84.73,84.77,6727400
2022-10-13,82.85,87.09,82.76,86.64,18956100
2022-10-14,87.25,87.40,84.56,84.74,9432900
2022-10-17,86.24,87.06,86.14,86.59,9541100
2022-10-18,88.46,88.91,87.44,88.68,10160500
2022-10-19,88.25,88.85,87.35,88.05,7705500
2022-10-20,87.79,88.31,86.17,86.32,8773200
2022-10-21,86.40,88.87,86.09,88.69,13148200
2022-10-24,89.32,90.21,89.07,89.87,9388700
2022-10-25,89.77,91.15,89.72,91.08,9807900
2022-10-26,91.91,92.71,91.07,91.40,10250400
2022-10-27,92.29,93.58,92.28,92.47,9223900
2022-10-28,92.66,94.70,92.42,94.62,9161700
2022-10-31,94.16,94.95,93.89,94.35,9144900
2022-11-01,95.05,95.17,93.67,94.26,9673000
2022-11-02,93.79,95.72,92.55,92.60,13884600
2022-11-03,91.66,94.41,91.60,93.57,13331000
2022-11-04,94.87,95.34,93.50,95.07,11497500
2022-11-07,95.50,96.24,94.90,96.09,8286900
2022-11-08,96.40,97.38,95.77,96.93,8951500
2022-11-09,96.35,97.00,95.46,95.58,9217600
2022-11-10,98.30,99.72,97.84,99.59,18633600
2022-11-11,99.83,100.24,99.12,99.53,9975400
2022-11-14,99.24,100.26,98.89,98.92,8854100
2022-11-15,99.99,100.18,98.74,99.60,10514100
2022-11-16,99.48,99.68,98.66,98.88,9612000
2022-11-17,97.61,98.75,97.10,98.71,8753800
2022-11-18,99.60,99.89,98.80,99.44,7661500
2022-11-21,99.18,100.06,99.15,99.76,7072600
2022-11-22,100.20,100.76,100.10,100.53,7470200
2022-11-23,100.65,101.29,100.58,100.91,5649000
2022-11-25,101.13,101.50,101.01,101.30,2665900
2022-11-28,100.85,100.94,99.14,99.46,7870200
2022-11-29,99.68,100.23,99.38,100.07,5563400
2022-11-30,100.05,101.74,98.94,101.72,18295400
2022-12-01,102.10,102.36,100.97,101.75,13848600
2022-12-02,100.66,102.69,100.66,102.33,10767900
2022-12-05,101.40,101.52,100.44,100.62,11070700
2022-12-06,100.85,100.90,98.68,99.43,8854500
2022-12-07,99.25,100.00,99.11,99.30,7173700
2022-12-08,99.66,100.50,99.53,99.89,6462400
2022-12-09,99.84,100.26,99.04,99.07,7208000
2022-12-12,99.30,100.80,99.22,100.77,7043300
2022-12-13,103.23,103.31,100.41,101.15,17589500
2022-12-14,101.27,102.28,100.38,100.96,10428900
2022-12-15,99.60,100.05,98.01,98.52,11588400
2022-12-16,97.59,98.31,97.14,98.10,17357100
2022-12-19,97.37,98.27,96.65,97.12,8814700
2022-12-20,96.91,97.87,96.80,97.24,9294200
2022-12-21,98.38,99.24,98.05,99.07,8220700
2022-12-22,98.39,98.47,96.30,97.81,11024700
2022-12-23,97.80,98.53,97.37,98.39,6142400
2022-12-27,98.54,99.18,98.16,98.69,5213800
2022-12-28,98.87,99.10,97.38,97.40,6803900
2022-12-29,97.85,98.90,97.77,98.60,8309000
2022-12-30,98.01,98.40,97.29,98.21,6874400
2023-01-03,98.78,98.94,97.51,98.42,11407700
2023-01-04,98.74,99.61,98.52,99.29,12236000
2023-01-05,98.73,98.96,97.95,98.22,9649600
