Date,Open,High,Low,Close,Volume
2022-01-03,87.05,87.84,86.67,87.76,20302800
2022-01-04,87.91,88.00,86.18,86.83,16648000
2022-01-05,86.32,86.39,84.13,84.16,23628400
2022-01-06,83.49,84.60,83.24,83.74,23767200
2022-01-07,83.68,84.08,82.42,82.96,30488600
2022-01-10,81.73,83.08,80.64,82.98,32501400
2022-01-11,82.76,84.10,82.15,83.97,19207600
2022-01-12,84.60,85.18,83.95,84.37,18144000
2022-01-13,84.81,85.05,81.97,82.18,20942600
2022-01-14,81.62,82.93,81.62,82.88,22351400
2022-01-18,81.68,82.16,80.67,80.89,24694200
2022-01-19,81.14,82.14,79.68,79.76,24961400
2022-01-20,80.47,81.38,78.62,78.73,37609000
2022-01-21,78.54,79.44,77.14,77.17,48016600
2022-01-24,75.88,77.62,73.12,77.57,67413400
2022-01-25,76.04,77.21,74.90,75.77,48886200
2022-01-26,77.83,78.74,75.31,76.21,53596200
2022-01-27,77.45,77.86,75.42,75.69,39446800
2022-01-28,76.63,79.02,75.49,79.00,44236000
2022-01-31,79.02,81.09,78.64,80.99,29121000
2022-02-01,81.10,81.33,80.02,81.19,23389800
2022-02-02,81.37,81.99,80.82,81.86,25504800
2022-02-03,80.69,81.25,79.18,79.48,27865400
2022-02-04,79.06,80.50,78.72,79.80,29721400
2022-02-07,79.86,80.33,78.96,79.27,14622600
2022-02-08,79.02,80.46,78.83,80.25,21139800
2022-02-09,81.29,82.06,80.95,82.03,17795600
2022-02-10,80.40,81.76,79.46,79.89,31692200
2022-02-11,79.96,80.32,77.15,77.44,34878800
2022-02-14,77.24,78.04,76.52,77.42,41030400
2022-02-15,78.58,79.51,78.31,79.46,24437400
2022-02-16,78.92,79.65,78.06,79.38,20318200
2022-02-17,78.64,78.71,76.86,77.00,24906400
2022-02-18,77.26,77.38,75.64,76.22,25310800
2022-02-22,75.42,76.72,74.69,75.51,26893600
2022-02-23,76.30,76.50,73.54,73.62,37879400
2022-02-24,71.10,76.19,70.86,76.14,50967800
2022-02-25,76.25,77.20,75.32,77.18,28301600
2022-02-28,76.36,77.36,75.71,77.04,34822200
2022-03-01,76.75,77.14,74.90,75.50,29925000
2022-03-02,76.05,77.45,75.46,77.13,25592400
2022-03-03,77.78,77.79,75.82,76.21,23450600
2022-03-04,75.61,75.93,74.28,74.88,26731200
2022-03-07,74.81,75.15,72.10,72.14,32864200
2022-03-08,71.94,74.01,70.72,71.79,36898400
2022-03-09,73.74,74.96,73.14,74.62,35327400
2022-03-10,73.31,73.53,72.21,73.32,27448400
2022-03-11,73.97,74.15,71.92,72.03,21457800
2022-03-14,71.70,72.51,70.49,70.69,27852400
2022-03-15,71.25,73.21,71.02,73.07,22993800
2022-03-16,74.00,75.47,72.82,75.44,27176000
2022-03-17,75.04,76.03,74.64,75.98,18518800
2022-03-18,75.71,77.68,75.34,77.54,27897800
2022-03-21,76.97,77.65,76.23,77.25,22341400
2022-03-22,77.30,78.76,77.19,78.36,17485800
2022-03-23,77.62,78.34,77.07,77.15,12360600
2022-03-24,77.58,79.18,77.32,79.15,14263400
2022-03-25,79.28,79.39,78.12,79.11,14874600
2022-03-28,78.75,80.08,78.54,80.05,18593000
2022-03-29,80.99,81.82,80.40,81.75,18829800
2022-03-30,81.33,81.56,80.24,80.66,18680200
2022-03-31,80.65,80.80,79.35,79.46,19424000
