Date,Open,High,Low,Close,Volume
2022-01-03,140.29,140.55,138.24,139.44,15122300
2022-01-04,139.13,139.29,137.01,137.60,14304500
2022-01-05,137.90,138.73,136.57,136.62,15370700
2022-01-06,135.77,136.60,134.80,135.04,15182000
2022-01-07,134.72,134.97,134.07,134.35,9619400
2022-01-10,133.76,135.81,133.44,135.73,15589900
2022-01-11,135.93,136.83,135.00,136.81,12168300
2022-01-12,136.03,136.63,135.83,136.42,10831800
2022-01-13,136.18,136.35,134.06,134.30,13804900
2022-01-14,133.94,134.21,132.69,134.07,14341800
2022-01-18,132.75,132.96,131.85,132.19,16471400
2022-01-19,132.44,133.48,131.52,131.65,14639600
2022-01-20,131.97,133.32,130.71,130.79,15127800
2022-01-21,131.19,131.60,129.26,129.47,25804800
2022-01-24,128.30,129.26,124.92,129.04,37938000
2022-01-25,127.33,129.31,126.27,128.21,19326800
2022-01-26,128.42,129.58,126.54,127.54,29557400
2022-01-27,128.16,129.84,127.45,127.87,18483600
2022-01-28,127.76,130.53,126.86,130.48,20906800
2022-01-31,130.24,131.47,129.98,131.23,19044400
2022-02-01,131.70,131.82,130.53,131.58,14674800
2022-02-02,131.49,133.67,131.22,133.35,13595200
2022-02-03,133.17,133.28,132.53,132.78,13805600
2022-02-04,131.57,133.23,131.33,132.30,12004100
2022-02-07,132.35,132.81,131.70,132.07,9229200
2022-02-08,131.37,133.38,131.07,133.15,11071600
2022-02-09,133.79,134.46,133.65,134.18,10811000
2022-02-10,132.63,133.79,131.56,132.08,14393300
2022-02-11,131.90,132.90,130.09,130.25,13072300
2022-02-14,129.98,130.23,127.95,128.92,14386900
2022-02-15,130.04,130.88,129.71,130.37,8969900
2022-02-16,129.70,130.94,129.34,130.57,8779200
2022-02-17,130.04,130.11,128.28,128.47,11906800
2022-02-18,128.35,129.04,127.08,127.51,13505600
2022-02-22,127.06,128.23,126.34,127.19,13682100
2022-02-23,127.84,128.28,126.43,126.55,12022800
2022-02-24,124.29,127.32,124.06,127.06,23220000
2022-02-25,127.63,131.27,127.49,130.95,17012300
2022-02-28,128.85,130.11,128.45,129.96,17987700
2022-03-01,129.28,130.34,128.24,129.24,14064200
2022-03-02,129.81,131.90,129.64,131.19,12395600
2022-03-03,131.77,132.63,130.74,131.86,11172600
2022-03-04,130.53,132.64,130.14,132.52,12160400
2022-03-07,131.69,131.94,129.62,130.21,15704000
2022-03-08,129.35,130.31,127.47,127.55,21794600
2022-03-09,129.63,130.63,128.67,129.96,15576500
2022-03-10,128.39,130.19,128.25,129.91,10708800
2022-03-11,130.26,131.02,128.81,128.94,9869100
2022-03-14,129.98,131.72,129.47,129.85,14373200
2022-03-15,130.90,132.58,130.68,132.44,14374100
2022-03-16,133.11,134.05,131.75,134.03,13840400
2022-03-17,133.64,136.21,133.46,136.15,10973100
2022-03-18,136.07,137.16,135.66,136.99,11364200
